id,node_id,position
22840866,834074747,0
22840866,834074744,1
22840866,2122708763,2
22840866,245646829,3
22841041,2558443693,0
22841041,2558443695,1
22841041,1242074985,2
22841041,245647282,3
22841173,245646825,0
22841173,2870389540,1
22841173,2273608964,2
22841173,672152920,3
22841173,2259729644,4
22841173,2270799732,5
22841173,672152922,6
22841173,245646838,7
22841315,670342822,0
22841315,2171089252,1
22841315,767818747,2
22841315,2171089237,3
22841315,767818748,4
22841645,2279179543,0
22841645,2204190785,1
22841645,2204190784,2
22841645,248176345,3
22841645,2204190778,4
22841645,4700637771,5
22841645,669526685,6
22841645,2204190773,7
22841645,2204190769,8
22841645,2836384704,9
22841860,806835532,0
22841860,806835531,1
22841860,806835530,2
22841860,806835529,3
22841860,806835528,4
22841860,806835523,5
22841860,2568024659,6
22841860,806835518,7
22841860,806834568,8
22841860,806835514,9
22841860,806835508,10
22841860,2568024653,11
22841860,806835502,12
22841860,2568024655,13
22841860,2568024657,14
22841860,806835498,15
22841860,806836996,16
22841860,2568024661,17
22841860,806836993,18
22841860,806836992,19
22841860,806836990,20
22841860,806836991,21
22841860,806836983,22
22841860,806793361,23
22841860,2568024669,24
22841860,2568024667,25
22841860,806793420,26
22841860,2568024663,27
22841860,806793485,28
22841860,806793457,29
22841860,806793376,30
22841860,806793317,31
22841860,806793437,32
22841860,2568024651,33
22841860,806793390,34
22841860,2568024650,35
22841860,806793452,36
22841860,806793312,37
22841860,2568024648,38
22841860,806793370,39
22841860,2568024647,40
22841860,2285348821,41
22841860,806793345,42
22841860,2568024646,43
22841860,806793402,44
22841860,2568024645,45
22841860,806793471,46
22841860,2568024644,47
22841860,2568024643,48
22841860,2568024642,49
22841860,806793328,50
22841860,2568024641,51
22841860,2568024640,52
22841860,806793482,53
22841860,806793341,54
22841860,2568024639,55
22841860,806793398,56
22841860,2568024638,57
22841860,2568024637,58
22841860,806793464,59
22841860,806793432,60
22841860,806793288,61
22841860,2568024636,62
22841860,2568024635,63
22841860,806793354,64
22841860,2568024634,65
22841860,806793415,66
22841860,2568024633,67
22841860,2568024632,68
22841860,806793431,69
22841860,806793287,70
22841860,806793353,71
22841860,806793413,72
22841860,2568024624,73
22841860,2568024622,74
22841860,806793389,75
22841860,2568024620,76
22841860,2568024617,77
22841860,2568024616,78
22841860,2568024615,79
22841860,2568024614,80
22841860,806793450,81
22841860,2568024613,82
22841860,806793309,83
22841860,2568024612,84
22841860,2568024611,85
22841860,806793369,86
22841860,2568024610,87
22841860,2568024609,88
22841860,806793323,89
22841860,2568024608,90
22841860,2568024607,91
22841860,806793479,92
22841860,806793339,93
22950636,1562691825,0
22950636,1562691882,1
22950636,1562691960,2
22950636,1562691816,3
22950636,1562691908,4
22975824,247669397,0
22975824,247669698,1
22975824,2508040537,2
22975824,247669699,3
22975824,789629978,4
22975824,247669543,5
23017403,673355776,0
23017403,673355775,1
23017403,3645392786,2
23017403,673355773,3
23017403,248170436,4
23017403,248170435,5
23017403,678822941,6
23027952,1225152026,0
23027952,4701300093,1
23027952,2994443027,2
23027952,248427853,3
23027952,2994443026,4
23027952,2994443024,5
23027952,248427852,6
23027952,2994443023,7
23027952,245646585,8
25954547,1406926922,0
25954547,2550695988,1
25954547,2550695987,2
25954547,2550695985,3
25954547,2550695983,4
25954547,2550695982,5
25954547,283152614,6
25954547,2550695977,7
25954547,283152616,8
25954547,2550695975,9
25954547,283152617,10
25954547,2204190751,11
25954547,283152618,12
25954547,2550695952,13
25954547,283152619,14
25954547,837527983,15
25954547,2550695943,16
25954547,283152621,17
25954547,2550695944,18
25954547,283152622,19
25954547,2165522443,20
27850903,305776714,0
27850903,305776720,1
27850903,2279179531,2
27850903,305776722,3
27850903,305776723,4
28723896,315811119,0
28723896,315811228,1
28723896,315811229,2
28723896,315811230,3
28723896,315811572,4
28723896,315811231,5
28723896,315811232,6
28723896,315811233,7
28723896,315811234,8
28723896,315811235,9
28723896,315811236,10
28723896,315811237,11
28723896,4210728825,12
28723896,315811238,13
28723896,315811239,14
31013602,345127462,0
31013602,1229141149,1
31013602,344859641,2
31013602,2203119477,3
31013602,2251843514,4
31013602,344859503,5
41447019,506919190,0
41447019,506919196,1
41851528,517399471,0
41851528,517399476,1
41851528,517399481,2
41851528,517399485,3
41851528,517399123,4
42708545,2017600750,0
