id,lat,lon,user,uid,version,changeset,timestamp
248156443,18.5089975,73.8388161,norky,8821,1,147615,2008-02-18T11:07:47Z
248156656,18.4873531,73.8272362,Rahul Maindargi,568021,2,12290715,2012-07-18T18:54:56Z
248156922,18.4665061,73.7994027,norky,8821,1,147615,2008-02-18T11:13:20Z
248156954,18.4603594,73.7761082,norky,8821,1,147615,2008-02-18T11:13:20Z
248158651,18.4997934,73.8507385,singleton,1157969,4,18601450,2013-10-29T13:24:47Z
248158698,18.4855258,73.852954,singleton,1157969,4,18601450,2013-10-29T13:24:48Z
248160316,18.4642825,73.8647482,singleton,1157969,4,15539214,2013-03-29T14:26:55Z
248160904,18.5715837,73.873222,norky,8821,1,147615,2008-02-18T12:03:56Z
248160934,18.5353009,73.8634373,norky,8821,1,147615,2008-02-18T12:03:56Z
248161703,18.5540843,73.874372,singleton,1157969,4,20105350,2014-01-20T15:16:47Z
248167328,18.4893272,74.0278279,singleton,1157969,3,18997537,2013-11-19T16:56:50Z
248170959,18.5001675,73.8838275,singleton,1157969,2,20844752,2014-03-01T13:10:59Z
248174336,18.5785937,73.9727121,singleton,1157969,4,22132477,2014-05-04T18:50:22Z
248177429,18.5842415,73.9086682,norky,8821,1,147615,2008-02-18T15:18:13Z
248177550,18.5785778,73.9040609,singleton,1157969,3,18632986,2013-10-31T11:33:09Z
248178889,18.583833,73.8633833,norky,8821,1,147615,2008-02-18T15:40:59Z
248180477,18.6749278,73.7397527,norky,8821,1,147615,2008-02-18T16:05:53Z
248185600,18.6589262,73.7560486,norky,8821,1,148278,2008-02-18T17:26:45Z
248186360,18.6264295,73.8057497,singleton,1157969,7,18279129,2013-10-10T11:10:46Z
248353538,18.6309105,73.8504526,singleton,1157969,2,15462618,2013-03-23T07:51:17Z
248389748,18.7351796,73.9465104,norky,8821,1,154669,2008-02-19T11:48:23Z
248390327,18.6789713,73.8993894,norky,8821,1,154669,2008-02-19T11:51:51Z
248395525,18.4809443,73.8621524,singleton,1157969,3,15538589,2013-03-29T13:44:04Z
248424502,18.512177,73.9078352,singleton,1157969,2,19935071,2014-01-11T13:49:21Z
248424534,18.4978171,73.9299351,norky,8821,1,154948,2008-02-19T14:58:02Z
248434667,18.5196317,73.8681493,singleton,1157969,4,15662399,2013-04-09T06:39:01Z
248436600,18.520125,73.8721934,singleton,1157969,2,15662399,2013-04-09T06:39:01Z
249562851,18.514868,73.9090723,singleton,1157969,2,15582239,2013-04-02T14:22:58Z
249562883,18.5003558,73.9284529,singleton,1157969,2,15582239,2013-04-02T14:22:59Z
250116478,18.5355419,73.9370089,norky,8821,1,254186,2008-03-02T17:03:08Z
250116515,18.5081152,73.9936244,rameshbhoir,1160394,2,23320448,2014-06-30T09:14:14Z
250116547,18.5309765,74.037486,rameshbhoir,1160394,2,23320448,2014-06-30T09:14:14Z
250126570,18.5321656,73.9167713,singleton,1157969,3,35322387,2015-11-15T07:33:52Z
250128367,18.5588886,73.9383227,singleton,1157969,3,17470187,2013-08-23T13:46:30Z
250131838,18.5301926,73.9433525,norky,8821,1,254186,2008-03-02T17:54:32Z
250136734,18.4903113,73.9608362,norky,8821,1,254186,2008-03-02T18:13:15Z
250136767,18.4686332,73.9942244,norky,8821,1,254186,2008-03-02T18:13:15Z
250136800,18.4579274,74.0233124,norky,8821,1,254186,2008-03-02T18:13:15Z
254367108,18.5115003,73.6825939,singleton,1157969,4,19307626,2013-12-06T15:10:26Z
276571379,18.7433384,73.6355168,katpatuka,17497,1,404787,2008-07-06T08:13:17Z
276571662,18.7593821,73.6515843,katpatuka,17497,1,404787,2008-07-06T08:17:19Z
280430691,18.5078298,73.9171938,vcp,44326,1,578458,2008-07-23T11:15:58Z
282771692,18.58991,73.7741547,singleton,1157969,5,31415452,2015-05-24T09:49:59Z
282771767,18.5626251,73.8301004,singleton,1157969,2,15576748,2013-04-02T03:57:58Z
283152637,18.5523492,73.9060204,singleton,1157969,3,19110287,2013-11-25T14:13:46Z
283152697,18.5457237,73.9062599,nirvanareborn,217627,7,7831502,2011-04-11T10:15:35Z
283166306,18.5393315,73.8987167,singleton,1157969,6,22250653,2014-05-10T13:59:08Z
283178890,18.5462833,73.9033412,singleton,1157969,3,15380493,2013-03-16T06:17:42Z
305776722,18.5646707,73.9141076,Trajan,31743,1,449774,2008-10-19T21:23:55Z
309924198,18.5331062,73.889254,singleton,1157969,3,15845544,2013-04-24T07:22:45Z
309924332,18.533639,73.8911201,Divjo,63375,1,681071,2008-11-04T18:55:03Z
313794888,18.5411604,73.8903549,singleton,1157969,2,22250653,2014-05-10T13:59:08Z
315796321,18.7101433,73.6132914,singleton,1157969,16,16107920,2013-05-13T09:37:52Z
315797754,18.6835776,73.6922108,singleton,1157969,14,16107920,2013-05-13T09:37:53Z
315797806,18.7045729,73.6667981,singleton,1157969,14,16107920,2013-05-13T09:37:54Z
315799348,18.6868993,73.720449,Oberaffe,56597,6,815855,2008-11-30T14:35:41Z
315801124,18.664496,73.7285964,singleton,1157969,2,16107920,2013-05-13T09:37:54Z
315806090,18.7042906,73.6747287,singleton,1157969,13,16107920,2013-05-13T09:37:56Z
315806120,18.6633367,73.7124511,singleton,1157969,13,16107920,2013-05-13T09:37:57Z
315809350,18.71613,73.6411019,singleton,1157969,9,16107920,2013-05-13T09:37:57Z
315810650,18.7128014,73.6470981,Oberaffe,56597,5,815855,2008-11-30T14:57:53Z
315812534,18.7042726,73.6800899,singleton,1157969,4,16108874,2013-05-13T10:58:57Z
315816001,18.5657834,73.7670723,satyen,97685,7,287665,2009-02-08T05:14:30Z
343302811,18.5525103,73.8216625,singleton,1157969,4,27124301,2014-11-30T03:07:55Z
343371569,18.7351357,73.9448812,singleton,1157969,3,19628607,2013-12-25T12:03:54Z
343371823,18.7303444,73.9876585,singleton,1157969,3,19628607,2013-12-25T12:03:55Z
343374560,18.7589706,73.8340945,singleton,1157969,4,19628079,2013-12-25T11:14:49Z
345121951,18.5529247,73.8893712,smchadwell,129772,2,2660220,2009-09-28T04:24:58Z
346238541,18.4110252,73.8470188,singleton,1157969,4,16752222,2013-06-29T13:52:12Z
346238701,18.4307922,73.8405188,singleton,1157969,4,16752222,2013-06-29T13:52:13Z
346238821,18.3760639,73.8555858,singleton,1157969,4,16752222,2013-06-29T13:52:14Z
487113314,18.5594387,73.8762867,singleton,1157969,4,20105350,2014-01-20T15:16:48Z
487113677,18.5540701,73.871788,singleton,1157969,2,20121748,2014-01-21T12:45:17Z
496739445,18.5661715,73.8810385,singleton,1157969,3,20139741,2014-01-22T11:45:43Z
506502115,18.5143344,73.8767471,singleton,1157969,2,15721926,2013-04-14T09:02:20Z
506936309,18.5174115,73.9014972,singleton,1157969,3,19935071,2014-01-11T13:49:21Z
511975999,18.5554551,73.8810573,Tinkle,2901893,3,32536086,2015-07-10T07:24:12Z
514921749,18.7469558,73.7891892,singleton,1157969,3,19628079,2013-12-25T11:14:49Z
514921822,18.7389012,73.7416695,singleton,1157969,2,19628079,2013-12-25T11:14:50Z
514921885,18.7352081,73.6972371,singleton,1157969,2,16110843,2013-05-13T14:17:31Z
514921957,18.7271302,73.6519982,singleton,1157969,2,16110843,2013-05-13T14:17:32Z
517168480,18.6286756,73.635625,katpatuka,17497,1,2708060,2009-10-02T04:47:22Z
517168610,18.6264389,73.6462937,katpatuka,17497,1,2708060,2009-10-02T04:47:25Z
517168748,18.6224615,73.6556235,katpatuka,17497,1,2708060,2009-10-02T04:47:27Z
517168867,18.6234457,73.6643182,katpatuka,17497,1,2708060,2009-10-02T04:47:30Z
517168994,18.6170119,73.6544133,katpatuka,17497,1,2708060,2009-10-02T04:47:32Z
517169064,18.6248691,73.6439334,katpatuka,17497,1,2708060,2009-10-02T04:47:35Z
517170435,18.6280574,73.6374875,katpatuka,17497,1,2708060,2009-10-02T04:48:22Z
517197273,18.7684927,73.8664126,singleton,1157969,2,15462618,2013-03-23T07:51:19Z
517225413,18.7616998,73.8105781,katpatuka,17497,1,2708376,2009-10-02T05:55:52Z
517231821,18.6478174,74.0686639,singleton,1157969,2,15501510,2013-03-26T10:29:16Z
517232217,18.6499084,74.0495651,katpatuka,17497,1,2708376,2009-10-02T06:39:44Z
517232389,18.6507379,74.0511529,katpatuka,17497,1,2708376,2009-10-02T06:39:47Z
517232898,18.6265995,74.0717523,katpatuka,17497,1,2708376,2009-10-02T06:42:38Z
517232928,18.6403201,74.0618903,katpatuka,17497,1,2708376,2009-10-02T06:42:40Z
517234268,18.5966137,74.0022865,singleton,1157969,2,15501510,2013-03-26T10:29:18Z
517235194,18.4031927,73.911591,katpatuka,17497,1,2708603,2009-10-02T06:51:43Z
517235224,18.4107829,73.9045357,katpatuka,17497,1,2708603,2009-10-02T06:51:45Z
517235254,18.4175013,73.9066643,katpatuka,17497,1,2708603,2009-10-02T06:51:47Z
517235284,18.4177701,73.9028535,katpatuka,17497,1,2708603,2009-10-02T06:51:51Z
517235332,18.4358839,73.8943055,sravann,2901519,2,32594780,2015-07-13T07:03:42Z
517235611,18.3843009,73.659245,singleton,1157969,2,30134412,2015-04-11T03:35:25Z
517399212,18.5159006,74.0450807,katpatuka,17497,1,2710796,2009-10-02T11:55:27Z
517402001,18.5250076,74.041802,katpatuka,17497,1,2710796,2009-10-02T11:56:45Z
517405086,18.5350744,74.0323692,katpatuka,17497,1,2710796,2009-10-02T11:59:09Z
517405181,18.5621388,74.0228763,katpatuka,17497,1,2710796,2009-10-02T11:59:12Z
518619596,18.5375097,73.8778574,singleton,1157969,2,15630146,2013-04-06T10:00:40Z
525867574,18.5156587,73.9244544,singleton,1157969,9,18673636,2013-11-02T11:41:32Z
531363891,18.5714083,73.8599422,Mettal,515232,3,45973010,2017-02-10T12:57:12Z
531363969,18.5681753,73.8507787,Vonter,3926189,4,47461416,2017-04-05T03:13:12Z
531393997,18.5636634,73.8532209,smchadwell,129772,1,2852597,2009-10-15T10:00:36Z
533787700,18.6913559,73.6057358,singleton,1157969,4,16227685,2013-05-21T18:04:01Z
533787878,18.6909907,73.6526434,singleton,1157969,5,30877969,2015-05-07T16:20:25Z
533788003,18.6783124,73.682823,singleton,1157969,4,16227685,2013-05-21T18:04:02Z
533789346,18.6597569,73.7085978,singleton,1157969,4,16227685,2013-05-21T18:04:02Z
533789412,18.6418056,73.7515761,PlaneMad,1306,4,7155953,2011-02-01T15:52:52Z
533790647,18.6167292,73.784262,singleton,1157969,5,29385331,2015-03-10T14:15:31Z
534069540,18.6507767,73.8614414,dannykath,2226712,3,26052320,2014-10-13T16:20:14Z
534071110,18.6496522,73.8602674,smchadwell,129772,1,2870619,2009-10-17T07:15:51Z
572130766,18.6678341,73.7861919,singleton,1157969,3,17635791,2013-09-02T13:20:13Z
605267977,18.5145762,73.8929405,vcp,44326,1,3544111,2010-01-05T10:36:17Z
618551573,18.4165549,73.7594134,singleton,1157969,2,19108624,2013-11-25T12:34:26Z
618551605,18.4156205,73.7605609,singleton,1157969,2,19108624,2013-11-25T12:34:27Z
618551635,18.4373011,73.7718143,singleton,1157969,3,19108624,2013-11-25T12:34:28Z
618551666,18.4430095,73.7799873,singleton,1157969,2,19108624,2013-11-25T12:34:29Z
618551950,18.3962752,73.7260505,katpatuka,17497,1,3689347,2010-01-23T07:15:10Z
618551981,18.4066591,73.7567028,katpatuka,17497,1,3689347,2010-01-23T07:15:13Z
618552012,18.3968148,73.7287005,katpatuka,17497,1,3689347,2010-01-23T07:15:16Z
618552156,18.3888534,73.7150106,katpatuka,17497,1,3689347,2010-01-23T07:17:05Z
618552228,18.3907776,73.7214264,katpatuka,17497,1,3689347,2010-01-23T07:17:08Z
618552296,18.3987389,73.7234971,katpatuka,17497,1,3689347,2010-01-23T07:17:30Z
618552404,18.3894439,73.7007841,katpatuka,17497,1,3689347,2010-01-23T07:19:26Z
618552443,18.3940762,73.7138733,katpatuka,17497,1,3689347,2010-01-23T07:19:32Z
618552473,18.391246,73.7018141,katpatuka,17497,1,3689347,2010-01-23T07:19:34Z
618552889,18.4434353,73.789694,katpatuka,17497,1,3689347,2010-01-23T07:23:25Z
618552960,18.4246664,73.8009163,katpatuka,17497,1,3689347,2010-01-23T07:25:22Z
618552990,18.4390486,73.7920007,katpatuka,17497,1,3689347,2010-01-23T07:25:24Z
618553117,18.4103238,73.8032016,katpatuka,17497,1,3689347,2010-01-23T07:26:32Z
618553170,18.4225187,73.8022896,katpatuka,17497,1,3689347,2010-01-23T07:27:27Z
618553304,18.4420209,73.7913283,Manas Sambhus,2735924,2,34106008,2015-09-18T15:55:09Z
633121773,18.5195902,73.8626237,singleton,1157969,3,15721050,2013-04-14T07:23:17Z
633121808,18.5209324,73.8619965,singleton,1157969,2,15443413,2013-03-21T14:00:58Z
633122429,18.5172735,73.9068188,singleton,1157969,2,15549827,2013-03-30T11:29:20Z
638207906,18.4950942,73.9454794,singleton,1157969,2,20247334,2014-01-28T13:55:03Z
638662010,18.5360678,73.9124071,Praveen Arimbrathodiyil,70126,13,3870683,2010-02-14T07:40:19Z
639459109,18.4970682,73.9417579,singleton,1157969,2,20247334,2014-01-28T13:55:04Z
652720266,18.5731598,73.7624398,singleton,1157969,2,18105329,2013-09-30T07:37:51Z
652720483,18.5743801,73.7613501,singleton,1157969,2,18105329,2013-09-30T07:37:52Z
652723978,18.5750888,73.7606933,singleton,1157969,2,18105329,2013-09-30T07:37:53Z
652726429,18.5727183,73.7592494,singleton,1157969,2,18105329,2013-09-30T07:37:53Z
652726465,18.5743855,73.7583445,singleton,1157969,2,18105329,2013-09-30T07:37:54Z
663592119,18.5613727,73.8960526,singleton,1157969,2,18632986,2013-10-31T11:33:10Z
